"","state","district","office","candidate_republican","candidate_democrat","total_votes_republican","total_votes_democrat","gender_rep","gender_dem"
"1631","Kansas","District 108","State Representative","Steven Johnson","No candidate",7733,0,"male","N/A"
"1632","Kansas","District 109","State Representative","Troy L. Waymaster","No candidate",8123,0,"male","N/A"
"1633","Kansas","District 11","State Representative","Jim Kelly","No candidate",5510,0,"male","N/A"
"1634","Kansas","District 110","State Representative","Ken Rahjes","Kim Thomas",6403,2042,"male","female"
"1635","Kansas","District 111","State Representative","Barbara K. Wasinger","Eber Phelps",4341,4306,"female","male"
"1636","Kansas","District 112","State Representative","Tory Marie Arnberger","No candidate",5875,0,"male","N/A"
"1637","Kansas","District 113","State Representative","Greg Lewis","David W. Curtis",6081,1310,"male","male"
"1638","Kansas","District 114","State Representative","Jack Thimesch","Shanna Henry",5558,2269,"male","female"
"1639","Kansas","District 115","State Representative","Boyd Orr","No candidate",5192,0,"male","N/A"
"1640","Kansas","District 116","State Representative","Kyle D. Hoffman","No candidate",6465,0,"male","N/A"
"1641","Kansas","District 117","State Representative","Leonard A. Mastroni","No candidate",7173,0,"male","N/A"
"1642","Kansas","District 118","State Representative","Don Hineman","No candidate",8170,0,"male","N/A"
"1643","Kansas","District 119","State Representative","Bradley Ralph","No candidate",3762,0,"male","N/A"
"1644","Kansas","District 12","State Representative","Doug Blex","No candidate",6353,0,"male","N/A"
"1645","Kansas","District 120","State Representative","Adam Smith","Jerry Hill",7062,1611,"male","male"
"1646","Kansas","District 121","State Representative","John Resman","Nick Gill",7195,5122,"male","male"
"1647","Kansas","District 122","State Representative","J. Russell ""Russ"" Jennings","No candidate",4933,0,"Unknown","N/A"
"1648","Kansas","District 123","State Representative","John P. Jr. Wheeler","Pedro Rodriguez",3315,2038,"male","male"
"1649","Kansas","District 124","State Representative","Martin (Marty) Long","No candidate",5154,0,"male","N/A"
"1650","Kansas","District 125","State Representative","Shannon Francis","No candidate",3090,0,"female","N/A"
"1651","Kansas","District 13","State Representative","Larry P. Hibbard","No candidate",6542,0,"male","N/A"
"1652","Kansas","District 13","State Senator","Richard Hilderbrand","Bryan Hoffman",12836,9310,"male","male"
"1653","Kansas","District 14","State Representative","Charlotte Esau","Angela Justus Schweller",6215,6040,"female","female"
"1654","Kansas","District 15","State Representative","John Toplikar","Chris Haulmark",3940,3704,"male","male"
"1655","Kansas","District 16","State Representative","Susan ""Sue"" Huff","Cindy Holscher",4751,6810,"female","female"
"1656","Kansas","District 17","State Representative","Tom Cox","Laura Smith-Everett",5772,5442,"male","female"
"1657","Kansas","District 18","State Representative","Eric Jenkins","Cindy Neighbor",5070,5831,"male","female"
"1658","Kansas","District 19","State Representative","Stephanie S. Clayton","Stephen Wyatt",7830,5471,"female","male"
"1659","Kansas","District 2","State Representative","Kenneth Collins","Adam J. Sr. Lusker",4280,4208,"male","male"
"1660","Kansas","District 20","State Representative","Jan H. Kessinger","Becky Barber",7982,5259,"female","female"
"1661","Kansas","District 21","State Representative","No candidate","Jerry Stogsdill",0,10503,"N/A","male"
"1662","Kansas","District 22","State Representative","No candidate","Nancy Lusk",0,6852,"N/A","female"
"1663","Kansas","District 23","State Representative","Linda Gallagher","Susan Ruiz",4055,4411,"female","female"
"1664","Kansas","District 24","State Representative","No candidate","Jarrod Ousley",0,7678,"N/A","male"
"1665","Kansas","District 25","State Representative","Melissa A. Rooker","Rui Xu",6516,6637,"female","male"
"1666","Kansas","District 26","State Representative","Adam Thomas","Deann Mitchell",6144,5126,"male","female"
"1667","Kansas","District 27","State Representative","Sean E. Tarwater Sr.","Nicole Rome",8420,5476,"male","female"
"1668","Kansas","District 28","State Representative","Kellie Warren","Brian Clausen",6446,5064,"female","male"
"1669","Kansas","District 29","State Representative","James Todd","Brett Parker",4610,6309,"male","male"
"1670","Kansas","District 3","State Representative","Terry Calloway","Monica Murnan",3223,3906,"male","female"
"1671","Kansas","District 30","State Representative","Wendy Bingesser","Brandon Woodard",4651,5534,"female","male"
"1672","Kansas","District 31","State Representative","No candidate","Louis E. Ruiz",0,4416,"N/A","male"
"1673","Kansas","District 32","State Representative","No candidate","Pam Curtis",0,2239,"N/A","female"
"1674","Kansas","District 33","State Representative","No candidate","Tom Burroughs",0,4734,"N/A","male"
"1675","Kansas","District 34","State Representative","No candidate","Valdenia C. Winn",0,4363,"N/A","Unknown"
"1676","Kansas","District 35","State Representative","No candidate","Broderick Henderson",0,4722,"N/A","male"
"1677","Kansas","District 36","State Representative","Chiquita C. Coggs","Kathy Wolfe Moore",3068,7130,"female","female"
"1678","Kansas","District 37","State Representative","No candidate","Stan Frownfelter",0,3727,"N/A","male"
"1679","Kansas","District 38","State Representative","Willie Dove","Stuart W. Sweeney",6287,4619,"male","male"
"1680","Kansas","District 39","State Representative","Owen Donohoe","Michael Bolton",6110,5336,"male","male"
"1681","Kansas","District 4","State Representative","Trevor Jacobs","Lawrence Forbach",5883,1963,"male","male"
"1682","Kansas","District 40","State Representative","David W. French","Debbie Deere",3655,3585,"male","female"
"1683","Kansas","District 41","State Representative","Tony Barton","Jeff Pittman",2256,3037,"male","male"
"1684","Kansas","District 42","State Representative","Jim Karleskint","Thea Perry",5513,3241,"male","female"
"1685","Kansas","District 43","State Representative","Bill Sutton","Pamela Finley",4906,3266,"male","female"
"1686","Kansas","District 44","State Representative","No candidate","Barbara W. Ballard",0,9943,"N/A","female"
"1687","Kansas","District 45","State Representative","Cynthia Smith","Mike Amyx",4272,10049,"female","male"
"1688","Kansas","District 46","State Representative","No candidate","Dennis ""Boog"" Highberger",0,9199,"N/A","male"
"1689","Kansas","District 47","State Representative","Ronald B. Ellis","George D. Hanna",5777,3360,"male","male"
"1690","Kansas","District 48","State Representative","Abraham Rafie","David L. Benson",5331,5413,"male","male"
"1691","Kansas","District 49","State Representative","Megan Lynn","Darnell W. Hunt",4451,3812,"female","male"
"1692","Kansas","District 5","State Representative","Mark Samsel","Lassey Murphy",5683,2120,"male","Unknown"
"1693","Kansas","District 50","State Representative","Fred C. Patton","Down River Dan Brennan",8232,2484,"male","female"
"1694","Kansas","District 51","State Representative","Ron Highland","Noah L. Wright",6582,3603,"male","male"
"1695","Kansas","District 52","State Representative","Brenda S. Dietrich","Toni Scalia",8252,3664,"female","female"
"1696","Kansas","District 53","State Representative","No candidate","Jim Gartner",0,7416,"N/A","male"
"1697","Kansas","District 54","State Representative","Ken Corbet","Sarah Coats",5968,4132,"male","female"
"1698","Kansas","District 55","State Representative","No candidate","Annie Kuether",0,6415,"N/A","female"
"1699","Kansas","District 56","State Representative","Michael J. Snowden","Virgil Weigel",4061,5045,"male","male"
"1700","Kansas","District 57","State Representative","No candidate","John Alcala",0,4672,"N/A","male"
"1701","Kansas","District 58","State Representative","No candidate","Vic (T-Bone) Miller",0,4474,"N/A","male"
"1702","Kansas","District 59","State Representative","Blaine Finch","John Hall",5988,1949,"male","male"
"1703","Kansas","District 6","State Representative","Jene Vickrey","No candidate",7723,0,"female","N/A"
"1704","Kansas","District 60","State Representative","Mark Schreiber","No candidate",6434,0,"male","N/A"
"1705","Kansas","District 61","State Representative","Francis Awerkamp","No candidate",7466,0,"male","N/A"
"1706","Kansas","District 62","State Representative","Randy Garber","Melvin L. Baker",6232,2627,"male","male"
"1707","Kansas","District 63","State Representative","John R. Eplee","No candidate",6503,0,"male","N/A"
"1708","Kansas","District 64","State Representative","Susan ""Suzi"" L. Carlson","No candidate",4364,0,"female","N/A"
"1709","Kansas","District 65","State Representative","Lonnie Clark","No candidate",2717,0,"male","N/A"
"1710","Kansas","District 66","State Representative","No candidate","Sydney Carlin",0,5109,"N/A","female"
"1711","Kansas","District 67","State Representative","Tom Phillips","Alex Van Dyke",6420,4025,"male","male"
"1712","Kansas","District 68","State Representative","Dave Baker","No candidate",5833,0,"male","N/A"
"1713","Kansas","District 69","State Representative","J.R. Claeys","Gerrett Morris",3298,2741,"Unknown","male"
"1714","Kansas","District 7","State Representative","Richard J. Proehl","No candidate",5745,0,"male","N/A"
"1715","Kansas","District 70","State Representative","John E Barker","Jo Schwartz",5451,2598,"male","female"
"1716","Kansas","District 71","State Representative","Diana Dierks","No candidate",7377,0,"female","N/A"
"1717","Kansas","District 72","State Representative","Steven G. Kelly","Tim Hodge",4476,4564,"male","male"
"1718","Kansas","District 73","State Representative","Les Mason","No candidate",7510,0,"male","N/A"
"1719","Kansas","District 74","State Representative","Stephen Owens","No candidate",7099,0,"male","N/A"
"1720","Kansas","District 75","State Representative","Will Carpenter","No candidate",5667,0,"male","N/A"
"1721","Kansas","District 76","State Representative","Eric L. Smith","No candidate",7038,0,"male","N/A"
"1722","Kansas","District 77","State Representative","Kristey S. Williams","No candidate",6821,0,"female","N/A"
"1723","Kansas","District 78","State Representative","Ron Ryckman","Jason K. Darby",5627,4517,"male","male"
"1724","Kansas","District 79","State Representative","Cheryl Helmer","Ed Trimmer",3683,3570,"female","male"
"1725","Kansas","District 8","State Representative","Chris Croft","Michele Lobitz",7120,5459,"male","female"
"1726","Kansas","District 80","State Representative","Bill Rhiley","No candidate",5103,0,"male","N/A"
"1727","Kansas","District 81","State Representative","No candidate","Blake Carpenter",0,3990,"N/A","male"
"1728","Kansas","District 81","State Representative","No candidate","Shala Perez",0,2053,"N/A","female"
"1729","Kansas","District 82","State Representative","Jesse Burris","Danette Harris",5540,3223,"male","female"
"1730","Kansas","District 83","State Representative","No candidate","David J. Robbins",0,2268,"N/A","male"
"1731","Kansas","District 83","State Representative","No candidate","Henry Helgerson",0,3689,"N/A","male"
"1732","Kansas","District 84","State Representative","No candidate","Gail Finney",0,5037,"N/A","female"
"1733","Kansas","District 85","State Representative","Michael Capps","Michael Capps",742,4917,"male","male"
"1734","Kansas","District 85","State Representative","No candidate","Monica Marks",0,4824,"N/A","female"
"1735","Kansas","District 86","State Representative","No candidate","Jim Price",0,1770,"N/A","male"
"1736","Kansas","District 86","State Representative","No candidate","Jim Ward",0,3138,"N/A","male"
"1737","Kansas","District 87","State Representative","Renee Erickson","No candidate",6406,0,"female","N/A"
"1738","Kansas","District 88","State Representative","No candidate","Elizabeth Bishop",0,4596,"N/A","female"
"1739","Kansas","District 89","State Representative","No candidate","KC Ohaebosim",0,5508,"N/A","male"
"1740","Kansas","District 9","State Representative","Kent L. Thompson","No candidate",6176,0,"male","N/A"
"1741","Kansas","District 90","State Representative","Steve Huebert","No candidate",7686,0,"male","N/A"
"1742","Kansas","District 91","State Representative","David Loomis","No candidate",2334,0,"male","N/A"
"1743","Kansas","District 91","State Representative","Emil M. Bergquist","No candidate",6347,0,"male","N/A"
"1744","Kansas","District 92","State Representative","No candidate","John Carmichael",0,5332,"N/A","male"
"1745","Kansas","District 93","State Representative","Clifton Beck","No candidate",2417,0,"male","N/A"
"1746","Kansas","District 93","State Representative","J.C. Moore","No candidate",5781,0,"Unknown","N/A"
"1747","Kansas","District 94","State Representative","Dan Stiffler","No candidate",3740,0,"male","N/A"
"1748","Kansas","District 94","State Representative","Leo G. Delperdang","No candidate",6021,0,"male","N/A"
"1749","Kansas","District 95","State Representative","No candidate","Tom Sawyer",0,3535,"N/A","male"
"1750","Kansas","District 96","State Representative","No candidate","Brandon J. Whipple",0,3483,"N/A","male"
"1751","Kansas","District 97","State Representative","No candidate","Nick J. Hoheisel",0,3771,"N/A","male"
"1752","Kansas","District 97","State Representative","No candidate","Rebecca Jenek",0,2783,"N/A","female"
"1753","Kansas","District 98","State Representative","No candidate","Ron Howard",0,2795,"N/A","male"
"1754","Kansas","District 98","State Representative","No candidate","Steven G. Crum",0,2665,"N/A","male"
"1755","Kansas","District 99","State Representative","Susan Humphries","Kristi Kirk",7238,3592,"female","female"
"1756","Kentucky","District 1","State Representative","Steven Jack Rudy","Desiree Owen",11050,5445,"male","female"
"1757","Kentucky","District 10","State Representative","Josh Calloway","Dean Schamore",8018,8573,"male","male"
"1758","Kentucky","District 10","State Senator","No candidate","Dennis L. Parrett",0,24224,"N/A","male"
"1759","Kentucky","District 100","State Representative","Brian Clark","Terri Branham Clark",6418,7497,"male","female"
"1760","Kentucky","District 11","State Representative","James Buckmaster","Robert ""Rob"" Wiederstein",6870,7994,"male","male"
"1761","Kentucky","District 12","State Representative","Jim Gooch Jr.","Bruce Kunze",10854,6171,"male","male"
"1762","Kentucky","District 12","State Senator","Alice Forgy Kerr","Paula Setser-Kissick",26874,26102,"female","female"
"1763","Kentucky","District 13","State Representative","D J Johnson","Jim Glenn",6318,6319,"Unknown","male"
"1764","Kentucky","District 14","State Representative","Scott Lewis","Elizabeth M. Belcher",11757,4836,"male","female"
"1765","Kentucky","District 14","State Senator","Jimmy Higdon","Stephanie Compton",29752,15842,"male","female"
"1766","Kentucky","District 15","State Representative","Melinda Gibbons Prunty","Brent Yonts",8530,7402,"female","male"
"1767","Kentucky","District 16","State Representative","Jason Petrie","No candidate",10041,0,"male","N/A"
"1768","Kentucky","District 16","State Senator","George Maxwell ""Max"" Wise","No candidate",33447,0,"male","N/A"
"1769","Kentucky","District 17","State Representative","Steve Sheldon","Malcolm Cherry",12721,5828,"male","male"
"1770","Kentucky","District 18","State Representative","No candidate","Danielle M. Lovell",0,4672,"N/A","female"
"1771","Kentucky","District 18","State Senator","Scott L. Sharp","Robin L. Webb",15823,21644,"male","female"
"1772","Kentucky","District 19","State Representative","Michael Lee Meredith","William ""Bill"" Fishback",9313,5832,"male","male"
"1773","Kentucky","District 2","State Representative","Richard Heath","Charlotte Goddard",10880,4922,"male","female"
"1774","Kentucky","District 2","State Senator","Danny Carroll","Julie Tennyson",28252,16428,"male","female"
"1775","Kentucky","District 20","State Representative","Benjamin T. Lawson","Patti Minter",5436,6253,"male","female"
"1776","Kentucky","District 20","State Senator","Paul R. Hornback","Dave Suetholz",25775,19829,"male","male"
"1777","Kentucky","District 21","State Representative","Bart Rowland","Jarrett Cox",10907,4422,"male","male"
"1778","Kentucky","District 22","State Representative","Brian ""Tiger"" Gann","Wilson Stone",7178,7952,"male","male"
"1779","Kentucky","District 22","State Senator","Tom Buford","Carolyn DuPont",28537,14692,"male","female"
"1780","Kentucky","District 23","State Representative","Steve Riley","LaToya Drake",11019,4282,"male","female"
"1781","Kentucky","District 24","State Representative","Brandon Reed","Terry Mills",8981,6837,"male","male"
"1782","Kentucky","District 24","State Senator","Will Schroder","Rachel Roberts",23705,17958,"male","female"
"1783","Kentucky","District 25","State Representative","Jim DuPlessis","Tom Williamson",8889,6191,"male","male"
"1784","Kentucky","District 26","State Representative","Russell Webber","No candidate",10330,0,"male","N/A"
"1785","Kentucky","District 26","State Senator","Ernie Harris","Karen Berg",29625,26524,"male","female"
"1786","Kentucky","District 27","State Representative","Nancy J. Tate","Jeff Greer",6938,6932,"female","male"
"1787","Kentucky","District 28","State Representative","No candidate","Charles W. Miller",0,8405,"N/A","male"
"1788","Kentucky","District 28","State Senator","Ralph Alvarado","Denise Gray",23212,20291,"male","female"
"1789","Kentucky","District 29","State Representative","Kevin D. Bratcher","Ronel A. Brown",10570,9251,"male","male"
"1790","Kentucky","District 3","State Representative","Randy Bridges","Martha B. Emmons",7484,6553,"male","female"
"1791","Kentucky","District 30","State Representative","Christina O'Connor","Tom Burch",3223,9935,"female","male"
"1792","Kentucky","District 30","State Senator","Brandon Smith","Paula Clemons-Combs",27747,10151,"male","female"
"1793","Kentucky","District 31","State Representative","Leigh Boland Jones","Josie Raymond",7101,10512,"female","female"
"1794","Kentucky","District 32","State Representative","Phil Moffett","Tina Bojanowski",8877,10243,"male","female"
"1795","Kentucky","District 32","State Senator","Mike Wilson","Jeanie Smith",20803,18952,"male","female"
"1796","Kentucky","District 33","State Representative","Jason Michael Nemes","Rob Walker",11056,10624,"male","male"
"1797","Kentucky","District 34","State Representative","Robert James Douglas","Mary Lou Marzian",5714,17049,"male","female"
"1798","Kentucky","District 34","State Senator","Jared K. Carpenter","Susan Byrne Haddix",28145,17377,"male","female"
"1799","Kentucky","District 35","State Representative","Donna D. Lawlor","Lisa Willner",4812,10279,"female","female"
"1800","Kentucky","District 36","State Representative","Jerry T. Miller","Maurice M. Sweeney",13869,9936,"male","male"
"1801","Kentucky","District 36","State Senator","Julie Raque Adams","Sheri A. Donahue",29729,25977,"female","female"
"1802","Kentucky","District 37","State Representative","Katharaine Sweeton-Windsor","Jeffery Martni Donohue",4489,6356,"Unknown","male"
"1803","Kentucky","District 38","State Representative","Kari Licht","McKenzie Cantrell",4228,7116,"female","female"
"1804","Kentucky","District 38","State Senator","Dan Malano Seum","No candidate",25801,0,"male","N/A"
"1805","Kentucky","District 39","State Representative","No candidate","Russ Meyer",0,12099,"N/A","male"
"1806","Kentucky","District 4","State Representative","Lynn Bechler","Abigail C. Barnes",10003,5763,"female","female"
"1807","Kentucky","District 4","State Senator","Robert M. ""Robby"" Mills","J. Dorsey Ridley",19057,18573,"male","Unknown"
"1808","Kentucky","District 40","State Representative","Joshua Neubert","Nima Kulkarni",3004,8619,"male","male"
"1809","Kentucky","District 41","State Representative","No candidate","Attica Woodson Scott",0,10933,"N/A","female"
"1810","Kentucky","District 42","State Representative","Judy Martin Stallard","Reginald K. Meeks",1710,13617,"female","male"
"1811","Kentucky","District 43","State Representative","Everett C. Corley","Charles Booker",3005,10798,"male","male"
"1812","Kentucky","District 44","State Representative","Margaret Adkins","Joni Jenkins",4343,9505,"female","female"
"1813","Kentucky","District 45","State Representative","Stan Lee","Josh Hicks",11789,11250,"male","male"
"1814","Kentucky","District 46","State Representative","James Stansbury","Alan ""Al"" Gentry",5475,8754,"male","male"
"1815","Kentucky","District 47","State Representative","Mark A. Gilkison","Rick W. Rand",7128,8644,"male","male"
"1816","Kentucky","District 48","State Representative","Ken Fleming","Maria Sorolis",11525,11851,"male","female"
"1817","Kentucky","District 49","State Representative","Thomas Huff","Linda H. Belcher",8680,5930,"male","female"
"1818","Kentucky","District 5","State Representative","Larry Elkins","David Ramey",9326,6739,"male","male"
"1819","Kentucky","District 50","State Representative","D. Chad McCoy","James DeWeese",9129,7386,"Unknown","male"
"1820","Kentucky","District 51","State Representative","John ""Bam"" Carney","No candidate",12174,0,"male","N/A"
"1821","Kentucky","District 52","State Representative","Ken Upchurch","Dean Sumpter",10188,3774,"male","male"
"1822","Kentucky","District 53","State Representative","James A. Tipton","Dustin Burley",13813,5605,"male","male"
"1823","Kentucky","District 54","State Representative","Daniel B. Elliott","No candidate",10360,0,"male","N/A"
"1824","Kentucky","District 55","State Representative","Kim King","Cathy Carter",12919,6747,"female","female"
"1825","Kentucky","District 56","State Representative","Daniel A. Fister","Joe Graviss",8365,11343,"male","male"
"1826","Kentucky","District 57","State Representative","Calen R. Studler","Derrick W. Graham",6374,11726,"male","male"
"1827","Kentucky","District 58","State Representative","Rob Rothenburger","Bobby Lacer",11131,6171,"male","male"
"1828","Kentucky","District 59","State Representative","David W. Osborne","Diane Seaman",12259,7303,"male","female"
"1829","Kentucky","District 6","State Representative","Chris Freeland","Linda Story Edwards",12236,6727,"male","female"
"1830","Kentucky","District 6","State Senator","C. B. Embry Jr.","Crystal Chappell",27139,13217,"Unknown","female"
"1831","Kentucky","District 60","State Representative","Sal Santoro","Jesse Parks",11759,5951,"male","male"
"1832","Kentucky","District 61","State Representative","Savannah Maddox","Darrell L. Link",11312,5379,"female","male"
"1833","Kentucky","District 62","State Representative","Phillip R. Pratt","Jennifer Urie",11228,8187,"male","female"
"1834","Kentucky","District 63","State Representative","Diane St. Onge","Josh Blair",10903,7340,"female","male"
"1835","Kentucky","District 64","State Representative","Kimberly Poore Moser","Larry Varney",10728,5357,"female","male"
"1836","Kentucky","District 65","State Representative","Jordan Huizenga","Charles ""Buddy"" Wheatley",3848,6045,"male","male"
"1837","Kentucky","District 66","State Representative","C. Ed Massey","Roberto Henriquez",9262,4497,"Unknown","male"
"1838","Kentucky","District 67","State Representative","Bob Schrage","Dennis Keene",4904,7288,"male","male"
"1839","Kentucky","District 68","State Representative","Joseph M. Fischer","Jason Kilmer",12311,7933,"male","male"
"1840","Kentucky","District 69","State Representative","Adam Koenig","Col Owens",7222,5815,"male","Unknown"
"1841","Kentucky","District 7","State Representative","Suzanne Miles","Joy Gray",10723,6702,"female","female"
"1842","Kentucky","District 70","State Representative","No candidate","John Sims Jr.",0,11029,"N/A","male"
"1843","Kentucky","District 71","State Representative","R. Travis Brenda","Mary J. Renfro",13172,3613,"Unknown","female"
"1844","Kentucky","District 72","State Representative","Matthew R. Koch","Emily Ferguson",8578,7889,"male","female"
"1845","Kentucky","District 73","State Representative","Les Yates","Pat Banks",10856,6032,"male","female"
"1846","Kentucky","District 74","State Representative","David Hale","James E. Davis",9163,8718,"male","male"
"1847","Kentucky","District 75","State Representative","No candidate","Kelly Flood",0,11258,"N/A","female"
"1848","Kentucky","District 76","State Representative","Richard Marrs","Ruth Ann Palumbo",6073,11377,"male","female"
"1849","Kentucky","District 77","State Representative","Marianne Weiss","George A. Brown Jr.",3270,10319,"female","male"
"1850","Kentucky","District 78","State Representative","Mark Hart","Gregory E. J. Coulson",8192,5574,"male","male"
"1851","Kentucky","District 79","State Representative","Joshua Irvin","Susan Westrom",5769,11732,"male","female"
"1852","Kentucky","District 8","State Representative","Walker Wood Thomas","Jeffery R. Taylor",5282,4815,"male","male"
"1853","Kentucky","District 8","State Senator","Matt Castlen","Bob Glenn",25107,18019,"male","male"
"1854","Kentucky","District 80","State Representative","David Meade","No candidate",10861,0,"male","N/A"
"1855","Kentucky","District 81","State Representative","Deanna L. Frazier","Morgan H. Eaves",8111,8087,"female","female"
"1856","Kentucky","District 82","State Representative","Regina Bunch Huff","Stefanie J. E. Kingsley",9041,2816,"female","female"
"1857","Kentucky","District 83","State Representative","Jeff Hoover","No candidate",14167,0,"male","N/A"
"1858","Kentucky","District 84","State Representative","Chris Fugate","Tom R. Pope",7992,6367,"male","male"
"1859","Kentucky","District 85","State Representative","Tommy Turner","No candidate",11019,0,"male","N/A"
"1860","Kentucky","District 86","State Representative","Jim Stewart","Debra Ferguson Payne",10257,2639,"male","female"
"1861","Kentucky","District 87","State Representative","Adam Bowling","Dustin Allen",8153,2703,"male","male"
"1862","Kentucky","District 88","State Representative","Bill Farmer Jr.","Cherlynn Stevenson",12330,12378,"male","female"
"1863","Kentucky","District 89","State Representative","Robert Goforth","Kelly Smith",11615,3722,"male","female"
"1864","Kentucky","District 9","State Representative","Myron B. Dossett","William Coleman",7795,3376,"male","male"
"1865","Kentucky","District 90","State Representative","Derek Lewis","No candidate",10097,0,"male","N/A"
"1866","Kentucky","District 91","State Representative","Gary ""Toby"" Herald","Cluster Howard",7378,7385,"male","male"
"1867","Kentucky","District 92","State Representative","John C. Blanton","Ryan D. Mosley",8120,6086,"male","male"
"1868","Kentucky","District 93","State Representative","Norma Kirk McCormick","Chris Harris",4529,7096,"female","male"
"1869","Kentucky","District 94","State Representative","No candidate","Angie Hatton",0,10036,"N/A","female"
"1870","Kentucky","District 95","State Representative","Larry D. Brown","Ashley Tackett Laferty",5974,8154,"male","female"
"1871","Kentucky","District 96","State Representative","Jill York","Kathy L. Hinkle",7131,7136,"female","female"
"1872","Kentucky","District 97","State Representative","Bobby W. McCool","Craig London",8514,6225,"male","male"
"1873","Kentucky","District 98","State Representative","Danny R. Bentley","R. B. McKenzie",8131,6547,"male","Unknown"
"1874","Kentucky","District 99","State Representative","No candidate","Rocky Adkins",0,9871,"N/A","male"
"1875","Louisiana","District 26","State Senator","""Bob"" Hensgens","Jean Menard",22361,8158,"Unknown","female"
"1876","Louisiana","District 26","State Senator","Jerry Gaspard","No candidate",6777,0,"male","N/A"
"1877","Louisiana","District 33","State Representative","Stuart Moss","""Les"" Farnum",6795,4883,"male","Unknown"
"1878","Louisiana","District 33","State Representative","No candidate","Teri A. Johnson",0,912,"N/A","female"
"1879","Louisiana","District 90","State Representative","Brian Glorioso","Sean Morrison",2912,3640,"male","male"
"1880","Louisiana","District 90","State Representative","John Raymond","No candidate",3643,0,"male","N/A"
"1881","Louisiana","District 90","State Representative","Mary DuBuisson","No candidate",4263,0,"female","N/A"
"1882","Maine","District 1","State Representative","No candidate","Deane Rykerson",0,2914,"N/A","male"
"1883","Maine","District 1","State Senator","A. Michael Nadeau","Troy Dale Jackson",5683,8793,"Unknown","male"
"1884","Maine","District 10","State Representative","James Booth","Henry L. Ingwersen",2214,2374,"male","male"
"1885","Maine","District 10","State Senator","Stacey K. Guerin","William J. Lippincott",10431,5336,"female","male"
"1886","Maine","District 100","State Representative","Danny E. Costain","Frederick H. Austin",2456,1183,"male","male"
"1887","Maine","District 101","State Representative","David G. Haggan","James E. Davitt",2514,1542,"male","male"
"1888","Maine","District 102","State Representative","Abigail W. Griffin","Kimberly C. Hammill",2432,1262,"female","female"
"1889","Maine","District 103","State Representative","Roger E. Reed","No candidate",2955,0,"male","N/A"
"1890","Maine","District 104","State Representative","Steven D. Foster","No candidate",2881,0,"male","N/A"
"1891","Maine","District 105","State Representative","Joel R. Stetkis","John R. Clark",2398,1249,"male","male"
"1892","Maine","District 106","State Representative","Scott Walter Strom","Stanley Byron Jr. Short",1672,1541,"male","male"
"1893","Maine","District 107","State Representative","Anne C. Amadon","Betty A. Austin",1474,1752,"female","female"
"1894","Maine","District 108","State Representative","Shelley J. Rudnicki","Aaron Blaschke Rowden",1988,1428,"female","male"
"1895","Maine","District 109","State Representative","Karen A. Rancourt-Thomas","Bruce A. White",1126,2369,"female","male"
"1896","Maine","District 11","State Representative","Emily M. Rousseau","Ryan Michael Fecteau",1466,2395,"female","male"
"1897","Maine","District 11","State Senator","Jayne Crosby Giles","Erin D. Herbig",8100,11659,"female","female"
"1898","Maine","District 110","State Representative","Mark R. Andre","Colleen M. Madigan",1262,1992,"male","female"
"1899","Maine","District 111","State Representative","Philip A. Curtis","Katherine J. Wilder",2114,1579,"male","female"
"1900","Maine","District 112","State Representative","Thomas H. Skolfield","Cynthia J. Soma-Hernandez",2607,1386,"male","female"
"1901","Maine","District 113","State Representative","Paul R. Brown","H. Scott Jr. Landry",1692,2381,"male","Unknown"
"1902","Maine","District 114","State Representative","Randall C. Hall","Cherieann Harrison",2184,1437,"male","Unknown"
"1903","Maine","District 115","State Representative","Josanne C. Dolloff","John E. Jr. Madigan",1883,1649,"female","male"
"1904","Maine","District 116","State Representative","Richard A. Pickett","Benjamin S. McCollister",2367,1340,"male","male"
"1905","Maine","District 117","State Representative","Frances M. Head","Stephanie L. LeBlanc",2497,2416,"female","female"
"1906","Maine","District 118","State Representative","Chad Wayne Grignon","John Thiele",2219,1238,"male","male"
"1907","Maine","District 119","State Representative","Paul A. Stearns","No candidate",2324,0,"male","N/A"
"1908","Maine","District 12","State Representative","No candidate","Victoria Foley",0,2389,"N/A","female"
"1909","Maine","District 12","State Senator","Wendy P. Pelletier","David R. Miramant",7192,12467,"female","male"
"1910","Maine","District 120","State Representative","No candidate","Richard A. Evans",0,1544,"N/A","male"
"1911","Maine","District 121","State Representative","Gary A. Drinkwater","Terri Jane Casavant",2143,1208,"male","female"
"1912","Maine","District 122","State Representative","Delaina Marie Toothman","Michelle Dunphy",969,2238,"female","female"
"1913","Maine","District 123","State Representative","Derek Andrew Jones","Ryan S. Tipping",849,2736,"male","male"
"1914","Maine","District 124","State Representative","Daniel R. LaPointe","Aaron M. Frey",1360,2346,"male","male"
"1915","Maine","District 125","State Representative","Gary E. Capehart","Victoria P. Kornfield",1186,1978,"male","female"
"1916","Maine","District 126","State Representative","Joshua Timothy Hiatt","John C. Schneck",1100,1443,"male","male"
"1917","Maine","District 127","State Representative","No candidate","Barbara A. Cardone",0,2028,"N/A","female"
"1918","Maine","District 128","State Representative","Garrel Robert Craig","Arthur C. Verow",1792,1957,"male","male"
"1919","Maine","District 129","State Representative","Peter A. Lyford","No candidate",2734,0,"male","N/A"
