"","X","state","district","office","candidate_other","candidate_republican","candidate_democrat","total_votes_other","total_votes_republican","total_votes_democrat","vote_share_dem","vote_share_rep","vote_share_other","winner_party","gender_democrat","gender_republican","winner_gender","year"
"473",473,"Colorado","District 39","State Representative","Tony Gross","Mark Baisley","Kamala Vanderkolk",1325,29289,16167,0.345589021183814,0.626087514161732,0.0283234646544537,"Republican","female","male","male",2018
"474",474,"Colorado","District 4","State Representative","No candidate","Robert ''Dave'' John","Serena Gonzales-Gutierrez",0,5756,27564,0.827250900360144,0.172749099639856,0,"Democrat","female","male","female",2018
"475",475,"Colorado","District 40","State Representative","No candidate","Richard Allen Bassett","Janet Buckner",0,12146,20731,0.630562399245673,0.369437600754327,0,"Democrat","female","male","female",2018
"476",476,"Colorado","District 41","State Representative","No candidate","Lynn Myers","Jovan Melton",0,10923,19773,0.644155590304926,0.355844409695074,0,"Democrat","male","female","male",2018
"477",477,"Colorado","District 42","State Representative","No candidate","Mike Donald","Dominique Jackson",0,5240,14419,0.733455414822727,0.266544585177272,0,"Democrat","female","male","female",2018
"478",478,"Colorado","District 43","State Representative","Scott Wagner","Kevin Van Winkle","Barrett Rothe",874,22764,19027,0.445962732919255,0.533552091878589,0.0204851752021563,"Republican","male","male","male",2018
"479",479,"Colorado","District 44","State Representative","No candidate","Kim Ransom","Simone Aiken",0,25654,18741,0.422142133123099,0.577857866876901,0,"Republican","female","female","female",2018
"480",480,"Colorado","District 45","State Representative","No candidate","Patrick Neville","Danielle Kombo",0,30865,18581,0.375783683209966,0.624216316790034,0,"Republican","female","male","male",2018
"481",481,"Colorado","District 46","State Representative","No candidate","Jonathan Ambler","Daneya Esgar",0,14436,20556,0.587448559670782,0.412551440329218,0,"Democrat","female","male","female",2018
"482",482,"Colorado","District 47","State Representative","No candidate","Don Bendell","Bri Buentello",0,16003,16324,0.504964890030006,0.495035109969994,0,"Democrat","female","male","female",2018
"483",483,"Colorado","District 48","State Representative","No candidate","Stephen Alan Humphrey","Gbenga Ajiboye",0,29393,13967,0.322117158671587,0.677882841328413,0,"Republican","Unknown","male","male",2018
"484",484,"Colorado","District 49","State Representative","No candidate","Perry L. Buck","Conor Duffy",0,33867,23312,0.407702128403785,0.592297871596215,0,"Republican","male","male","male",2018
"485",485,"Colorado","District 5","State Representative","Rory Lamberton","Katherine E. Whitney","Alex Valdez",1061,6136,27131,0.790346073176416,0.178746213003962,0.0309077138196225,"Democrat","male","female","male",2018
"486",486,"Colorado","District 50","State Representative","No candidate","Michael A. Thuener","Rochelle Galindo",0,10624,12159,0.533687398498881,0.466312601501119,0,"Democrat","female","male","female",2018
"487",487,"Colorado","District 51","State Representative","No candidate","Hugh McKean","Joan Shaffer",0,24745,19320,0.438443208895949,0.561556791104051,0,"Republican","female","male","male",2018
"488",488,"Colorado","District 52","State Representative","No candidate","Donna Walter","Joann Ginal",0,16614,29708,0.641336729847589,0.358663270152411,0,"Democrat","female","female","female",2018
"489",489,"Colorado","District 53","State Representative","No candidate","No candidate","Jeni Arndt",0,0,29904,1,0,0,"Democrat","female","N/A","female",2018
"490",490,"Colorado","District 54","State Representative","Thea Chase","Matt Soper","No candidate",11449,22236,0,0,0.660115778536441,0.339884221463559,"Republican","N/A","male","male",2018
"491",491,"Colorado","District 55","State Representative","No candidate","Janice Rich","Tanya Travis",0,22470,13401,0.373588692815924,0.626411307184076,0,"Republican","female","female","female",2018
"492",492,"Colorado","District 56","State Representative","Kevin Gulbranson","Rod Bockenfeld","Dave Rose",1542,25702,18674,0.406681475674028,0.559736922339823,0.0335816019861492,"Republican","male","male","male",2018
"493",493,"Colorado","District 57","State Representative","No candidate","Bob Rankin","Colin Wilhelm",0,19691,12016,0.378969943545589,0.621030056454411,0,"Republican","male","male","male",2018
"494",494,"Colorado","District 58","State Representative","No candidate","Marc Catlin","Seth Cagin",0,21912,12972,0.371861025111799,0.628138974888201,0,"Republican","male","male","male",2018
"495",495,"Colorado","District 59","State Representative","Paul Jones","No candidate","Barbara McLachlan",18273,0,23273,0.560174264670486,0,0.439825735329514,"Democrat","female","N/A","female",2018
"496",496,"Colorado","District 6","State Representative","No candidate","No candidate","Chris Hansen",0,0,32899,1,0,0,"Democrat","male","N/A","male",2018
"497",497,"Colorado","District 60","State Representative","Glenn Ingalls","James D. ''Jim'' Wilson","Erin Kelley",1343,23468,14426,0.367663175064353,0.598108927797742,0.0342278971379055,"Republican","female","male","male",2018
"498",498,"Colorado","District 61","State Representative","No candidate","Mike Mason","Julie McCluskie",0,14915,26063,0.63602420811167,0.36397579188833,0,"Democrat","female","male","female",2018
"499",499,"Colorado","District 62","State Representative","No candidate","Scott Honeycutt","Donald E. Valdez",0,13512,17752,0.567809621289662,0.432190378710338,0,"Democrat","male","male","male",2018
"500",500,"Colorado","District 63","State Representative","Joe Johnson","Lori A. Saine","Brandon D. Bobian",2060,25816,15346,0.35505066864097,0.597288417935311,0.0476609134237194,"Republican","male","female","female",2018
"501",501,"Colorado","District 64","State Representative","No candidate","Kimmi Lewis","Teri Nilson Baird",0,26149,8651,0.248591954022989,0.751408045977011,0,"Republican","female","female","female",2018
"502",502,"Colorado","District 65","State Representative","No candidate","Rod Pelton","Bethleen McCall",0,22746,7065,0.236993056254403,0.763006943745597,0,"Republican","Unknown","male","male",2018
"503",503,"Colorado","District 7","State Representative","No candidate","Jay Frank Kucera","James Rashad Coleman",0,5338,27272,0.836307881018093,0.163692118981907,0,"Democrat","male","male","male",2018
"504",504,"Colorado","District 8","State Representative","No candidate","No candidate","Leslie Herod",0,0,39517,1,0,0,"Democrat","female","N/A","female",2018
"505",505,"Colorado","District 9","State Representative","No candidate","Bob Lane","Emily Sirota",0,10666,27265,0.718805198913817,0.281194801086183,0,"Democrat","female","male","female",2018
"506",506,"Connecticut","District 1","State Representative","No candidate","No candidate","Matthew Ritter",0,0,13320,1,0,0,"Democrat","male","N/A","male",2018
"507",507,"Connecticut","District 1","State Senator","Barbara Barry","Barbara Ruhe","John W Fonfara",1117,11272,41089,0.768334642282808,0.210778263959011,0.0208870937581809,"Democrat","male","female","male",2018
"508",508,"Connecticut","District 10","State Representative","No candidate","No candidate","Henry J Genga",0,0,5236,1,0,0,"Democrat","male","N/A","male",2018
"509",509,"Connecticut","District 10","State Senator","Gary Winfield","Douglas E Losty","Gary Winfield",898,2745,19284,0.841104374754656,0.119727831814018,0.0391677934313255,"Democrat","male","male","male",2018
"510",510,"Connecticut","District 100","State Representative","Quentin W Phipps","Anthony Gennaro","Quentin W Phipps",443,3534,5033,0.558601553829079,0.392230854605993,0.0491675915649279,"Democrat","male","male","male",2018
"511",511,"Connecticut","District 101","State Representative","Noreen Kokoruda","Noreen Kokoruda","John-Michael Parker",250,6009,6241,0.49928,0.48072,0.02,"Democrat","Unknown","female","Unknown",2018
"512",512,"Connecticut","District 102","State Representative","Robert Imperato","Robert Imperato","Robin E Comey",231,4753,5856,0.540221402214022,0.438468634686347,0.021309963099631,"Democrat","female","male","female",2018
"513",513,"Connecticut","District 102","State Representative","Robin E Comey","No candidate","No candidate",241,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"514",514,"Connecticut","District 103","State Representative","Diane Pagano","Diane Pagano","Liz Linehan",193,4680,5188,0.515654507504224,0.465162508696949,0.0191829837988272,"Democrat","female","female","female",2018
"515",515,"Connecticut","District 104","State Representative","Joseph Jaumann","Joseph Jaumann","Kara Rochelle",121,3002,3785,0.547915460335842,0.434568616097279,0.017515923566879,"Democrat","female","male","female",2018
"516",516,"Connecticut","District 104","State Representative","Kara Rochelle","No candidate","No candidate",345,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"517",517,"Connecticut","District 105","State Representative","Nicole Klarides-Ditria","Nicole Klarides-Ditria","Kevin McDuffie",338,6697,3346,0.322319622387053,0.645120893940853,0.0325594836720932,"Republican","male","female","female",2018
"518",518,"Connecticut","District 106","State Representative","Rebekah Harriman-Stites","Mitch Bolinsky","Rebekah Harriman-Stites",278,5697,5297,0.469925479063165,0.50541163946061,0.0246628814762243,"Republican","female","male","male",2018
"519",519,"Connecticut","District 107","State Representative","Stephen G Harding","Stephen G Harding","Daniel Pearson",334,6556,4736,0.40736280750043,0.563908480990883,0.0287287115086874,"Republican","male","male","male",2018
"520",520,"Connecticut","District 108","State Representative","No candidate","Richard A Smith","No candidate",0,6383,0,0,1,0,"Republican","N/A","male","male",2018
"521",521,"Connecticut","District 109","State Representative","Veasna Roeun","Veasna Roeun","David Arconti Jr",98,2066,3555,0.621612169959783,0.36125196712712,0.0171358629130967,"Democrat","male","male","male",2018
"522",522,"Connecticut","District 109","State Representative","David Arconti Jr","No candidate","No candidate",252,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"523",523,"Connecticut","District 11","State Representative","No candidate","No candidate","Jeff Currey",0,0,4547,1,0,0,"Democrat","male","N/A","male",2018
"524",524,"Connecticut","District 11","State Senator","No candidate","Erin Reilly","Martin M Looney",0,6758,23787,0.778752660009822,0.221247339990178,0,"Democrat","male","female","male",2018
"525",525,"Connecticut","District 110","State Representative","Erin M Domenech","Erin M Domenech","Bob Godfrey",53,880,2367,0.717272727272727,0.266666666666667,0.0160606060606061,"Democrat","male","female","male",2018
"526",526,"Connecticut","District 110","State Representative","Bob Godfrey","No candidate","No candidate",130,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"527",527,"Connecticut","District 111","State Representative","John H Frey","John H Frey","Aimee Berger-Girvalo",278,6048,5888,0.482069756017685,0.4951694776486,0.0227607663337154,"Republican","female","male","male",2018
"528",528,"Connecticut","District 112","State Representative","JP Sredzinski","JP Sredzinski","No candidate",1061,6932,0,0,0.867258851495058,0.132741148504942,"Republican","N/A","male","male",2018
"529",529,"Connecticut","District 113","State Representative","No candidate","Jason Perillo","Elaine Matto",0,6233,3347,0.34937369519833,0.65062630480167,0,"Republican","female","male","male",2018
"530",530,"Connecticut","District 114","State Representative","Themis Klarides","Themis Klarides","Mary Welander",227,6022,5033,0.4461088459493,0.533770608048218,0.0201205460024818,"Republican","female","male","male",2018
"531",531,"Connecticut","District 114","State Representative","Mary Welander","No candidate","No candidate",213,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"532",532,"Connecticut","District 115","State Representative","Dorinda Borer","Lynne A Schlosser","Dorinda Borer",326,2016,4814,0.67272219116825,0.281721632196758,0.0455561766349916,"Democrat","female","female","female",2018
"533",533,"Connecticut","District 116","State Representative","Michael A Dimassa","Richard D DePalma","Michael A Dimassa",146,1299,3643,0.715998427672956,0.255306603773585,0.0286949685534591,"Democrat","male","male","male",2018
"534",534,"Connecticut","District 117","State Representative","Charles J Ferraro","Charles J Ferraro","Cindy Wolfe Boynton",204,5823,4626,0.434243874964799,0.546606589693044,0.0191495353421571,"Republican","female","male","male",2018
"535",535,"Connecticut","District 117","State Representative","Cindy Wolfe Boynton","No candidate","No candidate",241,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"536",536,"Connecticut","District 118","State Representative","Kim Rose","Connie Jagodzinski","Kim Rose",292,4421,5404,0.534150439853712,0.436987249184541,0.0288623109617476,"Democrat","female","female","female",2018
"537",537,"Connecticut","District 119","State Representative","Ellen Beatty","Kathy Kennedy","Ellen Beatty",224,6063,5044,0.445150472156032,0.535080751919513,0.019768775924455,"Republican","female","female","female",2018
"538",538,"Connecticut","District 12","State Representative","Geoff Luxenberg","Thomas J Tierney","Geoff Luxenberg",329,3345,5327,0.591823130763249,0.371625374958338,0.0365514942784135,"Democrat","male","male","male",2018
"539",539,"Connecticut","District 12","State Senator","Adam Greenberg","Adam Greenberg","Christine Cohen",966,22967,24289,0.503691261250052,0.476276388370453,0.0200323503794948,"Democrat","female","male","female",2018
"540",540,"Connecticut","District 12","State Senator","Christine Cohen","No candidate","No candidate",976,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"541",541,"Connecticut","District 120","State Representative","Jim Feehan","Jim Feehan","Philip Young",181,5028,5222,0.500623142555843,0.482024733966063,0.0173521234780941,"Democrat","male","male","male",2018
"542",542,"Connecticut","District 120","State Representative","Prez Palmer","No candidate","No candidate",55,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"543",543,"Connecticut","District 121","State Representative","Robert B Mitchell","Robert B Mitchell","Joseph P Gresko",110,2164,5376,0.702745098039216,0.282875816993464,0.0143790849673203,"Democrat","male","male","male",2018
"544",544,"Connecticut","District 122","State Representative","No candidate","Ben McGorty","Jose F Goncalves",0,7006,4430,0.38737320741518,0.61262679258482,0,"Republican","male","male","male",2018
"545",545,"Connecticut","District 123","State Representative","David J Rutigliano","David J Rutigliano","Sujata Gadkar-Wilcox",210,5705,4868,0.45145135862005,0.529073541685987,0.0194750996939627,"Republican","female","male","male",2018
"546",546,"Connecticut","District 123","State Representative","Sujata Gadkar-Wilcox","No candidate","No candidate",194,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"547",547,"Connecticut","District 124","State Representative","No candidate","Jose L Quiroga","Andre F Baker Jr",0,458,3971,0.896590652517498,0.103409347482502,0,"Democrat","male","male","male",2018
"548",548,"Connecticut","District 125","State Representative","No candidate","Tom O'Dea","Ross Tartell",0,6522,4959,0.431931016461981,0.568068983538019,0,"Republican","male","male","male",2018
"549",549,"Connecticut","District 126","State Representative","No candidate","Manuel Bataguas","Charlie Stallworth",0,997,5362,0.843214341877654,0.156785658122346,0,"Democrat","male","male","male",2018
"550",550,"Connecticut","District 127","State Representative","John (Jack) F Hennessy","Peter Perillo","John (Jack) F Hennessy",116,1341,3965,0.731279970490594,0.247325710070085,0.0213943194393213,"Democrat","male","male","male",2018
"551",551,"Connecticut","District 128","State Representative","No candidate","Ethan Book","Christopher Rosario",0,317,2366,0.881848676854268,0.118151323145732,0,"Democrat","male","male","male",2018
"552",552,"Connecticut","District 129","State Representative","No candidate","Vallorie L Clark","Steven Stafstrom",0,976,4507,0.821995258070399,0.178004741929601,0,"Democrat","male","female","male",2018
"553",553,"Connecticut","District 13","State Representative","Jennifer Fiereck","Jennifer Fiereck","Jason Doucette",399,6224,9011,0.5763720097224,0.398106690546245,0.0255212997313547,"Democrat","male","female","male",2018
"554",554,"Connecticut","District 13","State Representative","Jason Doucette","No candidate","No candidate",383,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"555",555,"Connecticut","District 13","State Senator","Len Suzio","Len Suzio","Mary Daugherty Abrams",842,16866,18381,0.509324170799967,0.467344620244396,0.0233312089556375,"Democrat","female","male","female",2018
"556",556,"Connecticut","District 13","State Senator","Mary Daugherty Abrams","No candidate","No candidate",1121,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"557",557,"Connecticut","District 130","State Representative","No candidate","Terry A Sullivan","Ezequiel Santiago",0,362,3202,0.898428731762065,0.101571268237935,0,"Democrat","male","male","male",2018
"558",558,"Connecticut","District 131","State Representative","No candidate","David K Labriola","James Kiochko",0,7048,3371,0.32354352625012,0.67645647374988,0,"Republican","male","male","male",2018
"559",559,"Connecticut","District 132","State Representative","Brenda L Kupchick","Brenda L Kupchick","Caitlin Clarkson Pereira",347,6186,5432,0.453990806519014,0.517007939824488,0.0290012536564981,"Republican","female","female","female",2018
"560",560,"Connecticut","District 133","State Representative","Sally Connolly","Sally Connolly","Cristin McCarthy Vahey",203,3241,5845,0.629238884702336,0.348907309721176,0.0218538055764883,"Democrat","female","female","female",2018
"561",561,"Connecticut","District 133","State Representative","Cristin McCarthy Vahey","No candidate","No candidate",236,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"562",562,"Connecticut","District 134","State Representative","Laura M Devlin","Laura M Devlin","Ashley Gaudiano",213,5516,5251,0.478233151183971,0.502367941712204,0.0193989071038251,"Republican","female","female","female",2018
"563",563,"Connecticut","District 135","State Representative","Michael Pitassi","Adam Dunsby","Anne Hughes",66,5393,6449,0.541568693315418,0.452888814242526,0.00554249244205576,"Democrat","female","male","female",2018
"564",564,"Connecticut","District 135","State Representative","Adam Dunsby","No candidate","No candidate",183,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"565",565,"Connecticut","District 135","State Representative","Anne Hughes","No candidate","No candidate",118,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"566",566,"Connecticut","District 136","State Representative","Greg Kraut","Greg Kraut","Jonathan Steinberg",304,4704,7945,0.613371419748321,0.36315911371883,0.0234694665328495,"Democrat","male","male","male",2018
"567",567,"Connecticut","District 137","State Representative","Frank Page","Frank Page","Chris Perone",138,2662,6076,0.684542586750789,0.2999098693105,0.0155475439387111,"Democrat","male","male","male",2018
"568",568,"Connecticut","District 137","State Representative","Chris Perone","No candidate","No candidate",247,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"569",569,"Connecticut","District 138","State Representative","Michael S Ferguson","Michael S Ferguson","Kenneth Gucker",240,4395,4658,0.501237490584311,0.472936618960508,0.0258258904551813,"Democrat","male","male","male",2018
"570",570,"Connecticut","District 138","State Representative","Kenneth Gucker","No candidate","No candidate",168,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"571",571,"Connecticut","District 139","State Representative","Nick DeLucia","Nick DeLucia","Kevin Ryan",235,3467,3925,0.514619116297365,0.454569293300118,0.0308115904025174,"Democrat","male","male","male",2018
"572",572,"Connecticut","District 139","State Representative","Kevin Ryan","No candidate","No candidate",284,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"573",573,"Connecticut","District 14","State Representative","Tom Delnicki","Tom Delnicki","John P Pelkey",339,5929,4976,0.442547136250445,0.527303450729278,0.0301494130202775,"Republican","male","male","male",2018
"574",574,"Connecticut","District 14","State Representative","John P Pelkey","No candidate","No candidate",187,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"575",575,"Connecticut","District 14","State Senator","James J Maroney","Pam Staneski","James J Maroney",570,20888,20502,0.48860819828408,0.497807435653003,0.0135843660629171,"Republican","male","female","female",2018
"576",576,"Connecticut","District 14","State Senator","James J Maroney","No candidate","No candidate",854,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"577",577,"Connecticut","District 140","State Representative","John J Flynn","John J Flynn","Travis Simms",98,974,3844,0.78193653376729,0.198128559804719,0.0199349064279902,"Democrat","male","male","male",2018
"578",578,"Connecticut","District 140","State Representative","Colin Anthony Hosten","No candidate","No candidate",579,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"579",579,"Connecticut","District 141","State Representative","Terrie E Wood","Terrie E Wood","No candidate",1095,7237,0,0,0.868578972635622,0.131421027364378,"Republican","N/A","female","female",2018
"580",580,"Connecticut","District 142","State Representative","Fred Wilms","Fred Wilms","Lucy Dathan",199,4797,5790,0.536806972000742,0.444743185610977,0.0184498423882811,"Democrat","female","male","female",2018
"581",581,"Connecticut","District 142","State Representative","Lucy Dathan","No candidate","No candidate",203,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"582",582,"Connecticut","District 143","State Representative","Gail Lavielle","Gail Lavielle","Stephanie Thomas",261,5833,5586,0.478253424657534,0.499400684931507,0.0223458904109589,"Republican","female","female","female",2018
"583",583,"Connecticut","District 143","State Representative","Stephanie Thomas","No candidate","No candidate",147,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"584",584,"Connecticut","District 144","State Representative","No candidate","No candidate","Caroline Simmons",0,0,7242,1,0,0,"Democrat","female","N/A","female",2018
"585",585,"Connecticut","District 145","State Representative","No candidate","Fritz Blau","Patricia Billie Miller",0,965,4580,0.825969341749324,0.174030658250676,0,"Democrat","female","male","female",2018
"586",586,"Connecticut","District 146","State Representative","No candidate","Dan Pannone","David Michel",0,2257,5913,0.72374541003672,0.27625458996328,0,"Democrat","male","male","male",2018
"587",587,"Connecticut","District 147","State Representative","Anzelmo Graziosi","Anzelmo Graziosi","Matt Blumenthal",173,4153,6187,0.588509464472558,0.395034718919433,0.0164558166080091,"Democrat","male","Unknown","male",2018
"588",588,"Connecticut","District 148","State Representative","No candidate","Philip Balestriere","Daniel J Fox",0,1604,5013,0.757594075865196,0.242405924134804,0,"Democrat","male","male","male",2018
"589",589,"Connecticut","District 149","State Representative","No candidate","Livvy Floren","No candidate",0,6971,0,0,1,0,"Republican","N/A","female","female",2018
"590",590,"Connecticut","District 15","State Representative","Bobby Gibson","No candidate","Bobby Gibson",428,0,9268,0.955858085808581,0,0.0441419141914191,"Democrat","male","N/A","male",2018
"591",591,"Connecticut","District 15","State Senator","James Russell","No candidate","Joan V Hartley",2963,0,16426,0.84718139151065,0,0.15281860848935,"Democrat","female","N/A","female",2018
"592",592,"Connecticut","District 150","State Representative","Mike Bocchino","Mike Bocchino","Steve Meskers",192,4272,4859,0.521184168186206,0.458221602488469,0.0205942293253245,"Democrat","male","male","male",2018
"593",593,"Connecticut","District 151","State Representative","Fred Camillo","Fred Camillo","Laura Kostin",227,5918,4786,0.437837343335468,0.541396029640472,0.02076662702406,"Republican","female","male","male",2018
"594",594,"Connecticut","District 16","State Representative","Tim Walczak","Tim Walczak","John Hampton",218,4935,7625,0.596728752543434,0.386210674596964,0.0170605728596024,"Democrat","male","male","male",2018
"595",595,"Connecticut","District 16","State Representative","Robert H Kalechman","No candidate","No candidate",51,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"596",596,"Connecticut","District 16","State Senator","Rob Sampson","Rob Sampson","Vickie Orsini Nardello",889,23099,17162,0.417059538274605,0.561336573511543,0.0216038882138518,"Republican","female","male","male",2018
"597",597,"Connecticut","District 16","State Senator","Vickie Orsini Nardello","No candidate","No candidate",1170,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"598",598,"Connecticut","District 17","State Representative","Leslee B Hill","Leslee Hill","Eleni Kavros Degraw",274,6004,5929,0.485704923404604,0.491848939133284,0.0224461374621119,"Republican","female","female","female",2018
"599",599,"Connecticut","District 17","State Representative","Eleni Kavros Degraw","No candidate","No candidate",230,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"600",600,"Connecticut","District 17","State Senator","George S Logan","George S Logan","Jorge Cabrera",987,17544,17623,0.487442606627206,0.485257509542513,0.0272998838302816,"Democrat","male","male","male",2018
"601",601,"Connecticut","District 17","State Senator","Jorge Cabrera","No candidate","No candidate",823,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"602",602,"Connecticut","District 18","State Representative","Mary M Fay","Mary M Fay","Jillian Gilchrest",194,2783,7608,0.718752952290978,0.262919225318847,0.0183278223901748,"Democrat","female","female","female",2018
"603",603,"Connecticut","District 18","State Senator","Heather Somers","Heather Somers","Robert R Statchen",1303,19584,16502,0.441359758217658,0.523790419642141,0.0348498221402017,"Republican","male","female","female",2018
"604",604,"Connecticut","District 18","State Senator","Robert R Statchen","No candidate","No candidate",774,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"605",605,"Connecticut","District 19","State Representative","No candidate","No candidate","Derek Slap",0,0,9515,1,0,0,"Democrat","male","N/A","male",2018
"606",606,"Connecticut","District 19","State Senator","Mark A Lounsbury","Mark A Lounsbury","Catherine A Osten",750,14817,19769,0.559457776771564,0.419317410006792,0.0212248132216436,"Democrat","female","male","female",2018
"607",607,"Connecticut","District 19","State Senator","Catherine A Osten","No candidate","No candidate",1620,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"608",608,"Connecticut","District 2","State Representative","William Duff","William Duff","Raghib Allie-Brennan",240,4623,5245,0.518895924020578,0.457360506529482,0.0237435694499406,"Democrat","male","male","male",2018
"609",609,"Connecticut","District 2","State Representative","Raghib Allie-Brennan","No candidate","No candidate",264,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"610",610,"Connecticut","District 2","State Senator","No candidate","No candidate","Douglas McCrory",0,0,26542,1,0,0,"Democrat","male","N/A","male",2018
"611",611,"Connecticut","District 20","State Representative","No candidate","No candidate","Joe Verrengia",0,0,7220,1,0,0,"Democrat","male","N/A","male",2018
"612",612,"Connecticut","District 20","State Senator","Paul M Formica","Paul M Formica","Martha E Marx",1148,19598,18203,0.467354745949832,0.503170813114586,0.0294744409355824,"Republican","female","male","male",2018
"613",613,"Connecticut","District 20","State Senator","Martha E Marx","No candidate","No candidate",961,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"614",614,"Connecticut","District 21","State Representative","Chris Forster","Chris Forster","Mike Demicco",187,4918,6323,0.553290164508225,0.430346517325866,0.0163633181659083,"Democrat","male","male","male",2018
"615",615,"Connecticut","District 21","State Representative","Mike Demicco","No candidate","No candidate",290,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"616",616,"Connecticut","District 21","State Senator","No candidate","Kevin C Kelly","Monica Tujak Brill",0,24589,18805,0.433354841683182,0.566645158316818,0,"Republican","female","male","male",2018
"617",617,"Connecticut","District 22","State Representative","William A Petit Jr","William A Petit Jr","Richard Ireland Jr",441,5297,2989,0.342500286467285,0.606966884381804,0.050532829150911,"Republican","male","male","male",2018
"618",618,"Connecticut","District 22","State Senator","Rich Deecken","Rich Deecken","Marilyn Moore",557,13155,19130,0.582485841300773,0.400554168442848,0.016959990256379,"Democrat","female","male","female",2018
"619",619,"Connecticut","District 22","State Senator","Marilyn Moore","No candidate","No candidate",665,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"620",620,"Connecticut","District 23","State Representative","Devin R Carney","Devin R Carney","Matt Pugliese",308,6854,5566,0.43730358265242,0.538497800125707,0.024198617221873,"Republican","male","male","male",2018
"621",621,"Connecticut","District 23","State Representative","Matt Pugliese","No candidate","No candidate",184,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"622",622,"Connecticut","District 23","State Senator","No candidate","John Rodriguez","Dennis Bradley",0,2199,14456,0.867967577304113,0.132032422695887,0,"Democrat","male","male","male",2018
"623",623,"Connecticut","District 24","State Representative","Rick Lopes","Sharon Beloin Saavedra","Rick Lopes",310,2699,3945,0.567299396031061,0.388121944204774,0.0445786597641645,"Democrat","male","female","male",2018
"624",624,"Connecticut","District 24","State Senator","Michael A McLachlan","Michael A McLachlan","Julie Kushner",581,14077,16400,0.528044304205036,0.453248760383798,0.0187069354111662,"Democrat","female","male","female",2018
"625",625,"Connecticut","District 24","State Senator","Julie Kushner","No candidate","No candidate",786,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"626",626,"Connecticut","District 25","State Representative","Alfred P Mayo","No candidate","Bobby Sanchez",76,0,3075,0.975880672802285,0,0.024119327197715,"Democrat","male","N/A","male",2018
"627",627,"Connecticut","District 25","State Representative","Bobby Sanchez","No candidate","No candidate",216,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"628",628,"Connecticut","District 25","State Senator","Marc D'Amelio","Marc D'Amelio","Bob Duff",634,13627,23629,0.623621008181578,0.359646344681974,0.0167326471364476,"Democrat","male","male","male",2018
"629",629,"Connecticut","District 25","State Senator","Bob Duff","No candidate","No candidate",815,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"630",630,"Connecticut","District 26","State Representative","Peter A Tercyak","Tremell J Collins","Peter A Tercyak",258,1601,3440,0.649179090394414,0.302132477826005,0.048688431779581,"Democrat","male","male","male",2018
"631",631,"Connecticut","District 26","State Senator","Toni Boucher","Toni Boucher","Will Haskell",1049,23525,28159,0.53399199742097,0.446115335748014,0.0198926668310166,"Democrat","male","female","male",2018
"632",632,"Connecticut","District 27","State Representative","Gary Byron","Gary Byron","Gary Turco",254,5171,5215,0.490131578947368,0.485996240601504,0.0238721804511278,"Democrat","male","male","male",2018
"633",633,"Connecticut","District 27","State Representative","Gary Turco","No candidate","No candidate",276,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"634",634,"Connecticut","District 27","State Senator","Cora M Santaguida","Jerry Bosak","Carlo Leone",392,11101,22161,0.658495275450169,0.329856777797587,0.0116479467522434,"Democrat","male","male","male",2018
