"","democrat","republican","other","state","year","district","democrat_incumbent","democrat_votes","republican_incumbent","republican_votes","other_incumbent","other_votes","gender_dem","gender_rep","winner_party","winner_gender","vote_prop_dem","vote_prop_rep","vote_prop_other"
"902","Cynthia Soto","No candidate","No candidate","Illinois",2016,"4","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"903","Juliana Stratton","No candidate","No candidate","Illinois",2016,"5","False",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"904","Sonya Harper","No candidate","No candidate","Illinois",2016,"6","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"905","Emanuel ""Chris"" Welch","No candidate","No candidate","Illinois",2016,"7","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"906","La Shawn K. Ford","No candidate","No candidate","Illinois",2016,"8","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"907","Arthur Turner II","No candidate","No candidate","Illinois",2016,"9","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"908","Melissa Conyears","Mark Spognardi","No candidate","Illinois",2016,"10","False",35858,"False",6911,"0",0,"female","male","Democrat","female",0.838410998620496,0.161589001379504,0
"909","Ann M. Williams","Gary Mandell","No candidate","Illinois",2016,"11","True",38028,"False",15115,"0",0,"female","male","Democrat","female",0.715578721562576,0.284421278437424,0
"910","Sara Feigenholtz","Gene Witt","No candidate","Illinois",2016,"12","True",43858,"False",14161,"0",0,"female","male","Democrat","female",0.755924783260656,0.244075216739344,0
"911","Greg Harris","No candidate","No candidate","Illinois",2016,"13","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"912","Kelly Cassidy","No candidate","No candidate","Illinois",2016,"14","True",35989,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"913","John C. D'Amico","Jonathan Edelman","No candidate","Illinois",2016,"15","True",25586,"False",16030,"0",0,"male","male","Democrat","male",0.614811610918877,0.385188389081123,0
"914","Lou Lang","No candidate","No candidate","Illinois",2016,"16","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"915","Laura Fine","No candidate","No candidate","Illinois",2016,"17","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"916","Robyn Gabel","Jessica Tucker","No candidate","Illinois",2016,"18","True",36794,"False",20580,"0",0,"female","female","Democrat","female",0.641300937706975,0.358699062293025,0
"917","Robert F. Martwick, Jr.","No candidate","No candidate","Illinois",2016,"19","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"918","Merry Marwig","Michael P. McAuliffe","No candidate","Illinois",2016,"20","False",20142,"True",25739,"0",0,"female","male","Republican","male",0.43900525271899,0.56099474728101,0
"919","Silvana Tabares","No candidate","No candidate","Illinois",2016,"21","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"920","Michael J. Madigan","No candidate","No candidate","Illinois",2016,"22","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"921","Michael Zalewski","No candidate","No candidate","Illinois",2016,"23","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"922","Elizabeth Hernandez","Andy Kirchoff","No candidate","Illinois",2016,"24","True",23079,"False",5969,"0",0,"female","male","Democrat","female",0.7945125309832,0.2054874690168,0
"923","Barbara Flynn Currie","No candidate","No candidate","Illinois",2016,"25","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"924","Christian Mitchell","No candidate","No candidate","Illinois",2016,"26","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"925","Monique D. Davis","No candidate","No candidate","Illinois",2016,"27","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"926","Robert Rita","No candidate","No candidate","Illinois",2016,"28","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"927","Thaddeus Jones","No candidate","No candidate","Illinois",2016,"29","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"928","William Davis","No candidate","No candidate","Illinois",2016,"30","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"929","Mary E. Flowers","No candidate","No candidate","Illinois",2016,"31","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"930","Andre Thapedi","No candidate","No candidate","Illinois",2016,"32","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"931","Marcus Evans","No candidate","No candidate","Illinois",2016,"33","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"932","Elgie R. Sims, Jr.","No candidate","No candidate","Illinois",2016,"34","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"933","Frances Ann Hurley","Victor Horne","No candidate","Illinois",2016,"35","True",34506,"False",18081,"0",0,"female","male","Democrat","female",0.656169775800103,0.343830224199897,0
"934","Kelly M. Burke","No candidate","No candidate","Illinois",2016,"36","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"935","No candidate","Margo McDermed","No candidate","Illinois",2016,"37","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"936","Al Riley","No candidate","No candidate","Illinois",2016,"38","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"937","Will Guzzardi","No candidate","No candidate","Illinois",2016,"39","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"938","Jaime Andrade","No candidate","No candidate","Illinois",2016,"40","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"939","No candidate","Grant Wehrli","No candidate","Illinois",2016,"41","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"940","Kathleen Carrier","Jeanne M. Ives","No candidate","Illinois",2016,"42","False",21560,"True",33443,"0",0,"female","female","Republican","female",0.391978619348036,0.608021380651964,0
"941","Anna Moeller","No candidate","No candidate","Illinois",2016,"43","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"942","Fred Crespo","Katy Dolan Baumer","No candidate","Illinois",2016,"44","True",22102,"False",13098,"0",0,"male","female","Democrat","male",0.627897727272727,0.372102272727273,0
"943","Cynthia Borbas","Christine Winger","No candidate","Illinois",2016,"45","False",22618,"True",25876,"0",0,"female","female","Republican","female",0.466408215449334,0.533591784550666,0
"944","Deborah O'Keefe Conroy","Heidi Holan","No candidate","Illinois",2016,"46","True",23369,"False",16257,"0",0,"female","female","Democrat","female",0.589739060212991,0.410260939787009,0
"945","No candidate","Patricia R. Bellock","No candidate","Illinois",2016,"47","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"946","Steve Swanson","Peter Breen","No candidate","Illinois",2016,"48","False",23676,"True",30793,"0",0,"male","male","Republican","male",0.43466926141475,0.56533073858525,0
"947","No candidate","Mike Fortner","No candidate","Illinois",2016,"49","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"948","Valerie L. Burd","Keith R. Wheeler","No candidate","Illinois",2016,"50","False",20830,"True",31659,"0",0,"female","male","Republican","male",0.396845053249252,0.603154946750748,0
"949","No candidate","Nick Sauer","No candidate","Illinois",2016,"51","False",0,"False",1,"0",0,"N/A","male","Republican","male",0,1,0
"950","No candidate","David McSweeney","No candidate","Illinois",2016,"52","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"951","No candidate","David Harris","No candidate","Illinois",2016,"53","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"952","No candidate","Thomas R. Morrison","No candidate","Illinois",2016,"54","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"953","Martin J. Moylan","Dan Gott","No candidate","Illinois",2016,"55","True",25717,"False",17811,"0",0,"male","male","Democrat","male",0.590815107517001,0.409184892482999,0
"954","Michelle Mussman","Jillian Bernas","No candidate","Illinois",2016,"56","True",24890,"False",19693,"0",0,"female","female","Democrat","female",0.558284547921854,0.441715452078146,0
"955","Elaine Nekritz","No candidate","No candidate","Illinois",2016,"57","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"956","Scott Drury","Marty Blumenthal","No candidate","Illinois",2016,"58","True",29338,"False",21756,"0",0,"male","male","Democrat","male",0.57419657885466,0.42580342114534,0
"957","Carol Sente","Dawn Abernathy","No candidate","Illinois",2016,"59","True",25908,"False",16656,"0",0,"female","female","Democrat","female",0.608683394417818,0.391316605582182,0
"958","Rita Mayfield","Robert Ochsner","No candidate","Illinois",2016,"60","True",22402,"False",6909,"0",0,"female","male","Democrat","female",0.76428644536181,0.23571355463819,0
"959","Nick Ciko","Sheri Jesiel","No candidate","Illinois",2016,"61","False",19947,"True",26692,"0",0,"male","female","Republican","female",0.427689272926092,0.572310727073908,0
"960","Sam Yingling","Rod Drobinski","No candidate","Illinois",2016,"62","True",22050,"False",19993,"0",0,"male","male","Democrat","male",0.524463049734795,0.475536950265205,0
"961","John M. Bartman","Steven Reick","No candidate","Illinois",2016,"63","False",19808,"False",25699,"0",0,"male","male","Republican","male",0.435273694156943,0.564726305843057,0
"962","No candidate","Barbara Wheeler","No candidate","Illinois",2016,"64","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"963","No candidate","Steven A. Andersson","No candidate","Illinois",2016,"65","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"964","Nancy Zettler","Allen Skillicorn","No candidate","Illinois",2016,"66","False",20083,"False",27295,"0",0,"female","male","Republican","male",0.423888724724556,0.576111275275444,0
"965","Litesa E. Wallace","No candidate","No candidate","Illinois",2016,"67","True",1,"False",0,"0",0,"Unknown","N/A","Democrat","Unknown",1,0,0
"966","Tricia Sweeney","John M. Cabello","No candidate","Illinois",2016,"68","False",17655,"True",31139,"0",0,"female","male","Republican","male",0.361827273845145,0.638172726154855,0
"967","Angelique Bodine","Joe Sosnowski","No candidate","Illinois",2016,"69","False",16032,"True",32961,"0",0,"female","male","Republican","male",0.327230420672341,0.672769579327659,0
"968","No candidate","Robert W. Pritchard","No candidate","Illinois",2016,"70","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"969","Mike Smiddy","Tony McCombie","No candidate","Illinois",2016,"71","True",18082,"False",30635,"0",0,"male","male","Republican","male",0.371164070037153,0.628835929962847,0
"970","Michael Halpin","Brandi McGuire","No candidate","Illinois",2016,"72","False",25014,"False",19342,"0",0,"male","female","Democrat","male",0.563937235097845,0.436062764902155,0
"971","No candidate","Ryan Spain","No candidate","Illinois",2016,"73","False",0,"False",1,"0",0,"N/A","male","Republican","male",0,1,0
"972","Bill Butts","Daniel Swanson","No candidate","Illinois",2016,"74","False",18185,"False",34567,"0",0,"male","male","Republican","male",0.344726266302699,0.655273733697301,0
"973","Martha Shugart","David Welter","No candidate","Illinois",2016,"75","False",20833,"True",29030,"0",0,"female","male","Republican","male",0.417804785111205,0.582195214888795,0
"974","Andy Skoog","Jerry Long","No candidate","Illinois",2016,"76","True",22759,"False",23557,"0",0,"male","male","Republican","male",0.491385266430607,0.508614733569393,0
"975","Kathleen Willis","Anthony Airdo","No candidate","Illinois",2016,"77","True",20806,"False",8762,"0",0,"female","male","Democrat","female",0.703666125541126,0.296333874458874,0
"976","Camille Y. Lilly","No candidate","No candidate","Illinois",2016,"78","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"977","Katherine Cloonen","Lindsay Parkhurst","No candidate","Illinois",2016,"79","True",20450,"False",23728,"0",0,"female","female","Republican","female",0.462900086015664,0.537099913984336,0
"978","Anthony DeLuca","No candidate","No candidate","Illinois",2016,"80","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"979","Greg Hose","David Olsen","No candidate","Illinois",2016,"81","False",25660,"True",29406,"0",0,"male","male","Republican","male",0.46598627102023,0.53401372897977,0
"980","No candidate","Jim Durkin","No candidate","Illinois",2016,"82","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"981","Linda Chapa LaVia","No candidate","No candidate","Illinois",2016,"83","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"982","Stephanie Kifowit","Mike Strick","No candidate","Illinois",2016,"84","True",24183,"False",14242,"0",0,"female","male","Democrat","female",0.629355888093689,0.370644111906311,0
"983","Emily McAsey","No candidate","No candidate","Illinois",2016,"85","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"984","Lawrence Walsh, Jr.","No candidate","No candidate","Illinois",2016,"86","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"985","No candidate","Tim Butler","No candidate","Illinois",2016,"87","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"986","No candidate","Keith P. Sommer","No candidate","Illinois",2016,"88","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"987","No candidate","Brian Stewart","No candidate","Illinois",2016,"89","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"988","No candidate","Tom Demmer","No candidate","Illinois",2016,"90","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"989","No candidate","Michael Unes","No candidate","Illinois",2016,"91","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"990","Jehan Gordon-Booth","No candidate","No candidate","Illinois",2016,"92","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"991","John Curtis","Norine Hammond","No candidate","Illinois",2016,"93","False",19163,"True",22985,"0",0,"male","female","Republican","female",0.454659770333112,0.545340229666888,0
"992","Bobby Pritchett","Randy Frese","No candidate","Illinois",2016,"94","False",12364,"True",37408,"0",0,"male","male","Republican","male",0.248412762195612,0.751587237804388,0
"993","Mike Mathis","Avery Bourne","No candidate","Illinois",2016,"95","False",20898,"True",27601,"0",0,"male","female","Republican","female",0.43089548238108,0.56910451761892,0
"994","Sue Scherer","No candidate","No candidate","Illinois",2016,"96","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"995","No candidate","Mark Batinick","No candidate","Illinois",2016,"97","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"996","Natalie Manley","No candidate","No candidate","Illinois",2016,"98","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"997","Tony DelGiorno","Sara Wojcicki Jimenez","No candidate","Illinois",2016,"99","False",22188,"True",35363,"0",0,"male","female","Republican","female",0.385536306927768,0.614463693072232,0
"998","No candidate","C.D. Davidsmeyer","No candidate","Illinois",2016,"100","False",0,"True",1,"0",0,"N/A","Unknown","Republican","Unknown",0,1,0
"999","Christine Law","Bill Mitchell","No candidate","Illinois",2016,"101","False",13661,"True",41728,"0",0,"female","male","Republican","male",0.246637418982108,0.753362581017892,0
"1000","No candidate","Brad Halbrook","No candidate","Illinois",2016,"102","False",0,"False",1,"0",0,"N/A","male","Republican","male",0,1,0
"1001","Carol Ammons","No candidate","No candidate","Illinois",2016,"103","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"1002","No candidate","Chad D. Hays","No candidate","Illinois",2016,"104","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1003","No candidate","Dan Brady","No candidate","Illinois",2016,"105","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1004","No candidate","Thomas M. Bennett","No candidate","Illinois",2016,"106","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1005","No candidate","John Cavaletto","No candidate","Illinois",2016,"107","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1006","No candidate","Charles E. Meier","No candidate","Illinois",2016,"108","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1007","No candidate","David Reis","No candidate","Illinois",2016,"109","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1008","Dennis Malak","Reginald ""Reggie"" Phillips","No candidate","Illinois",2016,"110","False",16121,"True",29398,"0",0,"male","male","Republican","male",0.354159801401613,0.645840198598387,0
"1009","Daniel V. Beiser","Mike Babcock","No candidate","Illinois",2016,"111","True",24808,"False",22353,"0",0,"male","male","Democrat","male",0.526027862004622,0.473972137995378,0
"1010","Katie Stuart","Dwight D. Kay","No candidate","Illinois",2016,"112","False",27594,"True",25875,"0",0,"female","male","Democrat","female",0.516074734893116,0.483925265106884,0
"1011","Jay C. Hoffman","Katherine Ruocco","No candidate","Illinois",2016,"113","True",26816,"False",18536,"0",0,"male","female","Democrat","male",0.591285941083083,0.408714058916917,0
"1012","LaToya Greenwood","Bob Romanik","No candidate","Illinois",2016,"114","False",26029,"False",19492,"0",0,"female","male","Democrat","female",0.571802025438808,0.428197974561192,0
"1013","Marsha Griffin","Terri Bryant","No candidate","Illinois",2016,"115","False",21626,"True",26454,"0",0,"female","female","Republican","female",0.449792013311148,0.550207986688852,0
"1014","Jerry Costello Jr.","No candidate","No candidate","Illinois",2016,"116","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"1015","John E. Bradley","Dave Severin","No candidate","Illinois",2016,"117","True",24032,"False",26946,"0",0,"male","male","Republican","male",0.471419043508965,0.528580956491035,0
"1016","Brandon W. Phelps","Jason Kasiar","No candidate","Illinois",2016,"118","True",26836,"False",19108,"0",0,"male","male","Democrat","male",0.584102385512798,0.415897614487202,0
"1017","Linda Lawson","No candidate","Michael Sandridge","Indiana",2016,"1","True",15561,"False",0,"False",2242,"female","N/A","Democrat","female",0.874066168623266,0,0.125933831376734
"1018","Earl Harris, Jr.","No candidate","No candidate","Indiana",2016,"2","False",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"1019","Charlie Brown","No candidate","No candidate","Indiana",2016,"3","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"1020","Pamela Fish","Ed Soliday","No candidate","Indiana",2016,"4","False",14311,"True",17272,"0",0,"female","male","Republican","male",0.45312351581547,0.54687648418453,0
"1021","No candidate","Dale DeVon","No candidate","Indiana",2016,"5","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1022","Pat Bauer","No candidate","No candidate","Indiana",2016,"6","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"1023","Joe Taylor","Justin Chupp","James Gillen","Indiana",2016,"7","False",12165,"False",11634,"False",1471,"male","male","Democrat","male",0.481400870597546,0.460387811634349,0.0582113177681045
"1024","Ryan Dvorak","Richard Pfeil","No candidate","Indiana",2016,"8","True",14747,"False",12373,"0",0,"male","male","Democrat","male",0.543768436578171,0.456231563421829,0
"1025","Scott Pelath","No candidate","No candidate","Indiana",2016,"9","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"1026","Charles Moseley","No candidate","No candidate","Indiana",2016,"10","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"1027","James Metro","Michael Aylesworth","No candidate","Indiana",2016,"11","False",11852,"True",18163,"0",0,"male","male","Republican","male",0.394869232050641,0.605130767949359,0
"1028","Mara Candelaria Reardon","Bill Fine","No candidate","Indiana",2016,"12","False",15979,"True",13246,"0",0,"female","male","Democrat","female",0.546757912745937,0.453242087254063,0
"1029","Mike Childress","Sharon Negele","No candidate","Indiana",2016,"13","False",8167,"True",18566,"0",0,"male","female","Republican","female",0.305502562376089,0.69449743762391,0
"1030","Vernon Smith","No candidate","No candidate","Indiana",2016,"14","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"1031","Tom O'Donnell","Hal Slager","No candidate","Indiana",2016,"15","False",13581,"True",16152,"0",0,"male","male","Republican","male",0.456765210372314,0.543234789627686,0
"1032","Richard Ludington","Douglas Gutwein","No candidate","Indiana",2016,"16","False",7972,"True",17652,"0",0,"male","male","Republican","male",0.311114580081174,0.688885419918826,0
"1033","Michelle Livinghouse","Jack Jordan","No candidate","Indiana",2016,"17","False",7826,"False",16043,"0",0,"female","male","Republican","male",0.327872973312665,0.672127026687335,0
"1034","Dee M. Moore","David Wolkins","No candidate","Indiana",2016,"18","False",6287,"True",20055,"0",0,"female","male","Republican","male",0.238668286386759,0.761331713613241,0
"1035","Shelli VanDenburgh","Julie Olthoff","Evan J. Demaree","Indiana",2016,"19","False",14895,"True",15236,"False",1288,"female","female","Republican","female",0.474076195932398,0.484929501257201,0.0409943028104013
"1036","Karen Biernacki","Jim Pressel","Aurea Torres","Indiana",2016,"20","False",10432,"False",15398,"False",1131,"female","male","Republican","male",0.386929268202218,0.571121249211824,0.0419494825859575
"1037","Jodi Buoscio","Timothy Wesco","Ethan Legg","Indiana",2016,"21","False",7140,"True",13275,"False",1049,"female","male","Republican","male",0.332650018635855,0.618477450614983,0.0488725307491614
"1038","Brian Smith","Curt Nisly","No candidate","Indiana",2016,"22","False",5624,"True",19254,"0",0,"male","male","Republican","male",0.226063188359193,0.773936811640807,0
"1039","Rose Ryan","Bill Friend","No candidate","Indiana",2016,"23","False",6642,"True",15829,"0",0,"female","male","Republican","male",0.295580971029327,0.704419028970673,0
"1040","No candidate","Donna Schaibley","Erol Ali Cetinok","Indiana",2016,"24","False",0,"True",29297,"False",6450,"N/A","female","Republican","female",0,0.819565278205164,0.180434721794836
"1041","Maurice Fuller","Donald Lehe","Franklyn Voorhies","Indiana",2016,"25","False",6948,"True",19273,"False",1731,"male","male","Republican","male",0.248568975386377,0.689503434459073,0.0619275901545507
"1042","Victoria Woeste","Sally Siegrist","No candidate","Indiana",2016,"26","False",9980,"False",11067,"0",0,"female","female","Republican","female",0.474176842305317,0.525823157694683,0
"1043","Sheila Klinker","No candidate","No candidate","Indiana",2016,"27","True",1,"False",0,"0",0,"female","N/A","Democrat","female",1,0,0
"1044","No candidate","Jeffrey Thompson","No candidate","Indiana",2016,"28","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1045","No candidate","Kathy Kreag Richardson","No candidate","Indiana",2016,"29","False",0,"True",1,"0",0,"N/A","female","Republican","female",0,1,0
"1046","Natalie Guest","Mike Karickhoff","No candidate","Indiana",2016,"30","False",10551,"True",15997,"0",0,"female","male","Republican","male",0.397431068253729,0.602568931746271,0
"1047","Lynn Johnson","Kevin Mahan","No candidate","Indiana",2016,"31","False",7952,"True",15274,"0",0,"female","male","Republican","male",0.342374924653406,0.657625075346594,0
"1048","Ryan Scott Davis","Tony Cook","No candidate","Indiana",2016,"32","False",7417,"True",22112,"0",0,"male","male","Republican","male",0.251176809238376,0.748823190761624,0
"1049","No candidate","Greg Beumer","No candidate","Indiana",2016,"33","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1050","Sue Errington","Joe Shank","No candidate","Indiana",2016,"34","True",12516,"False",6533,"0",0,"female","male","Democrat","female",0.657042364428579,0.342957635571421,0
"1051","Melanie Wright","Bill Walters","No candidate","Indiana",2016,"35","True",15643,"False",14129,"0",0,"female","male","Democrat","female",0.525426575305656,0.474573424694344,0
"1052","Terri Jo Austin","Jim Shelton","No candidate","Indiana",2016,"36","True",14782,"False",10405,"0",0,"female","male","Democrat","female",0.586890062333744,0.413109937666256,0
"1053","Mike Boland","Todd Huston","No candidate","Indiana",2016,"37","False",12592,"True",22403,"0",0,"male","male","Republican","male",0.359822831833119,0.640177168166881,0
"1054","No candidate","Heath VanNatter","Jason Burns","Indiana",2016,"38","False",0,"True",18623,"False",6303,"N/A","male","Republican","male",0,0.747131509267432,0.252868490732568
"1055","David Russ","Jerry Torr","No candidate","Indiana",2016,"39","False",12640,"True",23591,"0",0,"male","male","Republican","male",0.348872512489305,0.651127487510695,0
"1056","No candidate","Gregory Steuerwald","No candidate","Indiana",2016,"40","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1057","Howard Pollchik","Timothy Brown","John Pickerill","Indiana",2016,"41","False",5238,"True",18500,"False",3043,"male","male","Republican","male",0.195586423210485,0.690788245397857,0.113625331391658
"1058","Tim Skinner","Alan Morrison","No candidate","Indiana",2016,"42","False",11434,"True",14901,"0",0,"male","male","Republican","male",0.434175052211885,0.565824947788115,0
"1059","Clyde Kersey","No candidate","No candidate","Indiana",2016,"43","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"1060","Kimberly Fidler","Jim Baird","No candidate","Indiana",2016,"44","False",8073,"True",17927,"0",0,"female","male","Republican","male",0.3105,0.6895,0
"1061","No candidate","Bruce Borders","No candidate","Indiana",2016,"45","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1062","Bill Breeden","Bob Heaton","No candidate","Indiana",2016,"46","False",9369,"True",17333,"0",0,"male","male","Republican","male",0.350872593813198,0.649127406186803,0
"1063","Mike Reddick","John Young","No candidate","Indiana",2016,"47","False",8059,"False",22240,"0",0,"male","male","Republican","male",0.265982375655962,0.734017624344038,0
"1064","James Barnes","Doug Miller","No candidate","Indiana",2016,"48","False",7438,"True",14710,"0",0,"male","male","Republican","male",0.335831677803865,0.664168322196135,0
"1065","No candidate","Wes Culver","No candidate","Indiana",2016,"49","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1066","Jorge Fernandez","Dan Leonard","No candidate","Indiana",2016,"50","False",7181,"True",19561,"0",0,"male","male","Republican","male",0.268528905840999,0.731471094159001,0
"1067","No candidate","Dennis Zent","No candidate","Indiana",2016,"51","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1068","Charlie Odier","Ben Smaltz","No candidate","Indiana",2016,"52","False",7009,"True",21016,"0",0,"male","male","Republican","male",0.250098126672614,0.749901873327386,0
"1069","Nancy Tibbett","Robert Cherry","Rick Brown","Indiana",2016,"53","False",6780,"True",19964,"False",1979,"female","male","Republican","male",0.236047766598197,0.695052745186784,0.0688994882150193
"1070","No candidate","Tom Saunders","Jeff Embry","Indiana",2016,"54","False",0,"True",17726,"False",6606,"N/A","male","Republican","male",0,0.728505671543646,0.271494328456354
"1071","Mimi Pruett","Cindy Ziemke","No candidate","Indiana",2016,"55","False",6295,"True",20302,"0",0,"female","female","Republican","female",0.236680828664887,0.763319171335113,0
"1072","Karen Chasteen","Dick Hamm","No candidate","Indiana",2016,"56","False",9125,"True",14463,"0",0,"female","male","Republican","male",0.386849245379006,0.613150754620994,0
"1073","No candidate","Sean Eberhart","No candidate","Indiana",2016,"57","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1074","Edward O'Connor","Charles Burton","No candidate","Indiana",2016,"58","False",9616,"True",19213,"0",0,"male","male","Republican","male",0.333553019528947,0.666446980471053,0
"1075","Bob Pitman","Milo Smith","No candidate","Indiana",2016,"59","False",10205,"True",16118,"0",0,"male","male","Republican","male",0.387683774645747,0.612316225354253,0
"1076","Penny Githens","Peggy Mayfield","No candidate","Indiana",2016,"60","False",10882,"True",18885,"0",0,"female","female","Republican","female",0.365572613968489,0.634427386031511,0
"1077","Matt Pierce","No candidate","Drew Ash","Indiana",2016,"61","True",15608,"False",0,"False",4208,"male","N/A","Democrat","male",0.787646346386758,0,0.212353653613242
"1078","Steve Lindsey","Jeff Ellington","No candidate","Indiana",2016,"62","False",11589,"True",16724,"0",0,"male","male","Republican","male",0.409317274750115,0.590682725249885,0
"1079","Andrea Hulsman","Mike Braun","No candidate","Indiana",2016,"63","False",7570,"True",19228,"0",0,"female","male","Republican","male",0.282483767445332,0.717516232554668,0
"1080","No candidate","Thomas Washburne","No candidate","Indiana",2016,"64","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"1081","Chris Woods","Christopher May","No candidate","Indiana",2016,"65","False",10871,"False",18290,"0",0,"male","male","Republican","male",0.372792428243202,0.627207571756798,0
"1082","Terry Goodin","Joe Van Wye","No candidate","Indiana",2016,"66","True",15939,"False",10484,"0",0,"male","male","Democrat","male",0.603224463535556,0.396775536464444,0
"1083","Rudy Howard","Randy Frye","No candidate","Indiana",2016,"67","False",6101,"True",20492,"0",0,"male","male","Republican","male",0.229421276275712,0.770578723724288,0
"1084","Jake Hoog","Randy Lyness","No candidate","Indiana",2016,"68","False",7457,"True",22451,"0",0,"male","male","Republican","male",0.249331282599973,0.750668717400027,0
